match_id,r-hero1,r-hero2,r-hero3,r-hero4,r-hero5,d-hero1,d-hero2,d-hero3,d-hero4,d-hero5,avg_mmr,num_mmr,game_mode,lobby_type,radiant_win
3315687002,105,74,14,41,113,7,63,93,4,36,3649,2,22,7,TRUE
3380355408,97,62,18,50,35,7,22,32,1,36,3186,7,22,7,FALSE
3324424409,96,74,36,15,93,39,1,2,86,27,2648,2,22,0,FALSE
3312482900,114,35,51,53,101,9,107,113,45,99,3814,3,22,7,TRUE
3338223607,70,51,104,74,90,8,5,88,4,33,3393,4,22,7,FALSE
3332168204,48,25,31,21,5,56,22,50,41,104,3293,2,22,7,FALSE
3362779609,74,16,5,104,4,54,21,88,67,14,1658,2,22,7,FALSE
3318376000,56,67,31,95,32,71,11,2,86,54,3094,3,4,0,TRUE
3332250901,35,18,112,110,14,57,63,39,44,99,1926,3,22,0,TRUE
3375461207,33,81,9,36,44,70,57,13,14,11,3971,3,22,7,FALSE
3379186800,111,113,7,73,103,36,87,85,60,47,4280,5,22,7,FALSE
3348342802,10,111,1,35,112,97,8,84,73,14,3577,2,22,7,TRUE
3361631003,23,70,50,4,31,18,84,13,14,45,3201,5,22,7,FALSE
3318047507,101,60,14,18,47,99,54,28,112,73,2988,3,22,0,FALSE
3298182007,7,36,106,14,12,8,2,50,85,11,3981,7,22,7,TRUE
3295379005,98,34,4,11,87,20,27,17,63,2,3860,3,22,0,FALSE
3376060108,23,42,30,35,86,107,84,41,47,44,3285,2,22,7,FALSE
3336916504,12,14,74,105,23,43,80,52,86,114,4303,4,22,0,FALSE
3370947306,50,11,1,56,16,46,64,41,19,101,4502,5,4,0,TRUE
3325262303,51,94,63,56,8,67,62,61,34,91,2609,3,4,0,FALSE
3321687604,4,36,54,14,40,104,107,93,74,51,3411,5,22,7,FALSE
3321666201,6,41,33,64,74,7,70,63,14,111,2667,4,22,0,TRUE
3345721402,44,110,19,87,74,33,70,26,106,18,2872,2,22,0,FALSE
3337149100,104,74,61,108,20,14,16,40,35,44,3065,2,4,0,FALSE
3360181607,41,77,31,95,35,39,6,18,8,20,3717,3,22,7,TRUE
3366100804,12,8,11,22,74,36,60,1,73,107,2328,3,22,7,FALSE
3368053605,63,73,59,81,79,58,84,110,88,20,2827,3,4,0,FALSE
3351042808,10,81,74,50,59,67,22,44,7,36,3883,2,22,7,FALSE
3349787802,18,34,48,1,104,74,95,89,27,15,1957,2,22,7,TRUE
3321230103,93,101,42,44,5,91,14,67,110,17,1746,2,22,0,TRUE
3354641108,11,84,96,71,81,9,7,76,75,74,3147,5,22,7,TRUE
3331543000,48,35,33,39,12,27,81,55,108,90,3161,4,4,0,FALSE
3319636603,104,84,26,14,23,22,67,99,4,5,2443,2,22,7,TRUE
3352826704,63,6,15,69,14,4,3,95,89,114,3283,3,22,7,FALSE
3351723703,21,108,114,5,95,68,42,11,99,9,2951,3,22,0,FALSE
3309900204,4,74,77,5,104,6,11,103,40,53,3519,6,22,7,TRUE
